Edition_Year,Player_name,Reason
2023,Kevin Durant,Injury
2023,Stephen Curry,Injury
2023,Zion Williamson,Injury
2022,Kevin Durant,Injury
2022,Draymond Green,Injury
2022,James Harden,Injury
2022,Donovan Mitchell,Illness
2021,Devin Booker,Injury
2021,Anthony Davis,Injury
2021,Kevin Durant,Injury
2021,Joel Embiid,Covid-19
2021,Ben Simmons,Covid-20
2020,Damian Lillard,Injury
2019,Victor Oladipo,Injury
2018,DeMarcus Cousins,Injury
2018,Kevin Love,Injury
2018,Kristaps Porzingis,Injury
2018,John Wall,Injury
2018,Jimmy Butler,Coach's decision
2017,Kevin Love,Injury
2016,Chris Bosh,Injury
2016,Jimmy Butler,Injury
2015,Dwyane Wade,Injury
2015,Kobe Bryant,Injury
2015,Anthony Davis,Injury
2015,Blake Griffin,Injury
2014,Kobe Bryant,Injury
2013,Brook Lopez,Injury
2013,Rajon Rondo,Injury
2012,Joe Johnson,Injury
2011,Yao Ming,Injury
2010,Allen Iverson,Injury
2010,Chris Paul,Injury
2010,Brandon Roy,Injury
2010,Kobe Bryant,Injury
2009,Chris Bosh,Injury
2009,Jameer Nelson,Injury
2008,Caron Butler,Injury
2008,Kevin Garnett,Injury
2007,Carlos Boozer,Injury
2007,Jason Kidd,Injury
2007,Allen Iverson,Injury
2007,Yao Ming,Injury
2007,Steve Nash,Injury
2006,Jermaine O'Neal,Injury
2003,Chris Webber,Injury
2002,Karl Malone,Injury
2002,Shaquille O'Neal,Injury
2002,Vince Carter,Injury
2001,Shaquille O'Neal,Injury
2001,Theo Ratliff,Injury
2001,Alonzo Mourning,Injury
2001,Grant Hill,Injury
1997,Shaquille O'Neal,Injury
1997,Patrick Ewing,Injury
1997,Alonzo Mourning,Injury
1997,Charles Barkley,Injury
1997,Clyde Drexler,Injury
1995,Cedric Ceballos,Injury
1994,Charles Barkley,Injury
1994,Alonzo Mourning,Injury
1993,Mitch Richmond,Injury
1993,Chris Mullin,Injury
1992,Dominique Wilkins,Injury
1992,Larry Bird,Injury
1991,Larry Bird,Injury
1991,Isiah Thomas,Injury
1990,Karl Malone,Injury
1989,Magic Johnson,Injury
1988,Steve Johnson,Injury
1987,Ralph Sampson,Injury
1986,Patrick Ewing,Injury
1986,Michael Jordan,Injury
1985,Jeff Ruland,Injury
1984,Moses Malone,Injury
1982,Dan Roundfield,Injury
1981,Dan Roundfield,Injury
1980,Scott Wedman,Injury
1980,Dave Cowens,Injury
1979,Doug Collins,Injury
1978,Pete Maravich,Injury
1978,Billy Knight,Injury
1977,Bill Walton,Injury
1977,Dave Cowens,Injury
1974,Jerry West,Injury
1973,Rick Barry,Injury
1973,Kareem Abdul-Jabbar,Personal Reasons
1970,Nate Thurmond,Injury
1969,Jerry West,Injury
1968,Nate Thurmond,Injury
1965,Tom Heinsohn,Injury
1963,Wayne Embry,Injury
1962,Larry Costello,Injury
1962,Tom Gola,Injury
1960,Paul Arizin,Injury
1958,Cliff Hagan,Injury
1957,Clyde Lovellette,Injury
1956,Carl Braun,Injury
1955,Arnie Risen,Injury
1954,Jack Molinas,Suspension
1953,Fred Scolari,Injury
1952,Larry Foust,Injury
1952,Dolph Schayes,Injury