Edition_year,Player_name,Votes,Rank
1997,Charles Barkley,1877232,2
1997,Grant Hill,1868020,3
1997,Shawn Kemp,1713049,4
1997,Scottie Pippen,1683956,5
1997,Hakeem Olajuwon,1487310,6
1997,Patrick Ewing,1395759,7
1997,Karl Malone,1337319,8
1997,Shaquille O'Neal,1305941,9
1997,Gary Payton,1206539,10
1997,Anfernee Hardaway,1132024,11
1997,John Stockton,1127250,12
1997,Alonzo Mourning,1041570,13
1997,Clyde Drexler,926432,14
1997,Dikembe Mutombo,541528,15
1997,Kevin Garnett,481911,16
1997,Joe Dumars,428535,17
1997,Chris Webber,396365,18
1997,Eddie Jones,372196,19
1997,Mitch Richmond,347195,20
1997,Tim Hardaway,309220,21
1997,Tom Gugliotta,280504,22
1997,Vin Baker,269994,23
1997,Detlef Schrempf,259839,24
1997,Christian Laettner,225893,25
1997,Glen Rice,199216,26
1996,Grant Hill,1358004,1
1996,Michael Jordan,1341422,2
1996,Shaquille O'Neal,1290591,3
1996,Scottie Pippen,1289649,4
1996,Charles Barkley,1268195,5
1996,Hakeem Olajuwon,1240329,6
1996,Clyde Drexler,1070040,7
1996,Anfernee Hardaway,1050461,8
1996,Jason Kidd,1049946,9
1996,David Robinson,1037245,10
1996,Shawn Kemp,1021384,11
1996,Karl Malone,986028,12
1996,John Stockton,823826,13
1996,Alonzo Mourning,647899,14
1996,Reggie Miller,471162,15
1996,Patrick Ewing,437003,16
1996,Dikembe Mutombo,369053,17
1996,Mitch Richmond,323619,18
1996,Glen Rice,296143,19
1996,Vin Baker,259279,20
1995,Grant Hill,1289585,1
1995,Shaquille O'Neal,1263451,2
1995,Scottie Pippen,1134525,3
1995,Hakeem Olajuwon,1125032,4
1995,David Robinson,1046364,5
1995,Charles Barkley,1046105,6
1995,Shawn Kemp,1027451,7
1995,Anfernee Hardaway,999327,8
1995,Reggie Miller,908493,9
1995,Dan Majerle,868115,10
1995,Latrell Sprewell,861223,11
1995,Joe Dumars,826935,12
1995,John Stockton,798219,13
1995,Patrick Ewing,728331,14
1995,Larry Johnson,698931,15
1995,Alonzo Mourning,664927,16
1995,Dikembe Mutombo,594789,17
1995,Gary Payton,567324,18
1995,Karl Malone,526741,19
1995,Detlef Schrempf,391451,20
1995,Cedric Ceballos,259464,21
1994,Charles Barkley,794936,1
1994,Shaquille O'Neal,603346,2
1994,B.J. Armstrong,529065,3
1994,Scottie Pippen,496506,4
1994,Kenny Anderson,493690,5
1994,Clyde Drexler,493204,6
1994,Derrick Coleman,482261,7
1994,Hakeem Olajuwon,478018,8
1994,Mitch Richmond,469978,9
1994,Shawn Kemp,461880,10
1994,Kevin Johnson,431885,11
1994,Patrick Ewing,427216,12
1994,Mark Price,423179,13
1994,Mookie Blaylock,390433,14
1994,Alonzo Mourning,379998,15
1994,John Stockton,367605,16
1994,Dominique Wilkins,358501,17
1994,David Robinson,350873,18
1994,Karl Malone,322450,19
1994,Gary Payton,316720,20
1993,Michael Jordan,1035824,1
1993,Scottie Pippen,932912,2
1993,Charles Barkley,858947,3
1993,Shaquille O'Neal,826767,4
1993,Clyde Drexler,823482,5
1993,Larry Johnson,658236,6
1993,David Robinson,603696,7
1993,Patrick Ewing,576368,8
1993,Karl Malone,563627,9
1993,Chris Mullin,515779,10
1993,John Stockton,507951,11
1993,Shawn Kemp,489281,12
1993,Tim Hardaway,481090,13
1993,Hakeem Olajuwon,422755,14
1993,Isiah Thomas,397747,15
1993,Mitch Richmond,391943,16
1993,Dominique Wilkins,380958,17
1993,Brad Daugherty,329639,18
1993,Terry Porter,328206,19
1993,Mark Price,327964,20
1993,Joe Dumars,181253,21
1993,Sean Elliott,111398,22
1992,Michael Jordan,1049573,1
1992,Charles Barkley,991408,2
1992,Larry Bird,852476,3
1992,Karl Malone,764633,4
1992,Clyde Drexler,759550,5
1992,Chris Mullin,751397,6
1992,Magic Johnson,658211,7
1992,Isiah Thomas,549546,8
1992,Scottie Pippen,542191,9
1992,Patrick Ewing,514874,10
1992,David Robinson,512348,11
1992,Dikembe Mutombo,505035,12
1992,Michael Adams,489291,13
1992,Tim Hardaway,446765,14
1992,Hakeem Olajuwon,357588,15
1992,Dan Majerle,320220,16
1992,John Stockton,309590,17
1992,Brad Daugherty,271424,18
1992,Jeff Hornacek,271180,19
1992,Dennis Rodman,197945,20
1992,Reggie Lewis,152158,21
1992,Joe Dumars,144202,22
1991,Michael Jordan,1217429,1
1991,Charles Barkley,808454,2
1991,Patrick Ewing,764573,3
1991,Larry Bird,717049,4
1991,David Robinson,695519,5
1991,Magic Johnson,665354,6
1991,Karl Malone,609201,7
1991,Isiah Thomas,493414,8
1991,Joe Dumars,391638,9
1991,Robert Parish,388962,10
1991,Chris Mullin,387990,11
1991,Kevin Johnson,381463,12
1991,James Worthy,355831,13
1991,Clyde Drexler,349995,14
1991,John Stockton,344118,15
1991,Tom Chambers,332324,16
1991,Bernard King,319390,17
1991,Dominique Wilkins,257770,18
1991,Terry Porter,196653,19
1991,Tim Hardaway,180335,20
1991,Kevin McHale,168688,21
1991,Alvin Robertson,162421,22
1991,Kevin Duckworth,152279,23
1990,Michael Jordan,321114,1
1990,Larry Bird,248837,2
1990,Patrick Ewing,245746,3
1990,Magic Johnson,214348,4
1990,Hakeem Olajuwon,202244,5
1990,Charles Barkley,182639,6
1990,Isiah Thomas,181960,7
1990,James Worthy,163053,8
1990,A.C. Green,160788,9
1990,Karl Malone,159562,10
1990,John Stockton,149548,11
1990,Clyde Drexler,145782,12
1990,Dominique Wilkins,132994,13
1990,Joe Dumars,128964,14
1990,David Robinson,119301,15
1990,Scottie Pippen,106717,16
1990,Kevin McHale,94718,17
1990,Dennis Rodman,87078,18
1990,Kevin Johnson,78812,19
1990,Chris Mullin,72817,20
1990,Tom Chambers,64028,21
1990,Reggie Miller,57616,22
1990,Robert Parish,56028,23
1989,Michael Jordan,1003062,1
1989,Magic Johnson,856751,2
1989,Karl Malone,760168,3
1989,Dominique Wilkins,715991,4
1989,Hakeem Olajuwon,670472,5
1989,Alex English,525186,6
1989,Charles Barkley,486526,7
1989,Moses Malone,443027,8
1989,Isiah Thomas,402360,9
1989,Mark Price,388715,10
1989,Patrick Ewing,382833,11
1989,Larry Nance,380819,12
1989,Dale Ellis,379616,13
1989,John Stockton,353126,14
1989,James Worthy,342074,15
1989,Mark Eaton,336592,16
1989,Kevin Duckworth,333385,17
1989,Mark Jackson,331150,18
1989,Kevin McHale,320698,19
1989,Clyde Drexler,315395,20
1989,Kareem Abdul-Jabbar,310119,21
1989,Brad Daugherty,301438,22
1989,Chris Mullin,273891,23
1988,Michael Jordan,1121285,1
1988,Magic Johnson,1022122,2
1988,Hakeem Olajuwon,831339,3
1988,Larry Bird,747005,4
1988,Dominique Wilkins,694354,5
1988,Charles Barkley,687785,6
1988,Isiah Thomas,666895,7
1988,Moses Malone,601520,8
1988,Alex English,521080,9
1988,Kareem Abdul-Jabbar,507612,10
1988,Karl Malone,499963,11
1988,Xavier McDaniel,474087,12
1988,Fat Lever,468339,13
1988,Doc Rivers,455391,14
1988,Alvin Robertson,440925,15
1988,Clyde Drexler,430880,16
1988,James Worthy,409712,17
1988,Steve Johnson,391672,18
1988,Kevin McHale,350912,19
1988,Mark Aguirre,347357,20
1988,James Donaldson,310100,21
1987,Michael Jordan,1141733,1
1987,Dominique Wilkins,1029131,2
1987,Magic Johnson,949304,3
1987,Larry Bird,902701,4
1987,Julius Erving,819468,5
1987,Hakeem Olajuwon,792148,6
1987,Isiah Thomas,713173,7
1987,Ralph Sampson,611480,8
1987,James Worthy,588778,9
1987,Kareem Abdul-Jabbar,572779,10
1987,Moses Malone,565491,11
1987,Robert Parish,510471,12
1987,Charles Barkley,479176,13
1987,Alvin Robertson,457251,14
1987,Kevin McHale,455859,15
1987,Bill Laimbeer,432104,16
1987,Alex English,343348,17
1987,Mark Aguirre,339337,18
1987,Rolando Blackman,307838,19
1987,Jeff Malone,206255,20
1987,Maurice Cheeks,174512,21
1986,Magic Johnson,1060892,1
1986,Michael Jordan,719143,2
1986,Larry Bird,702440,3
1986,Kareem Abdul-Jabbar,666826,4
1986,Isiah Thomas,666013,5
1986,Moses Malone,615089,6
1986,Julius Erving,596875,7
1986,Ralph Sampson,516087,8
1986,Sidney Moncrief,503105,9
1986,James Worthy,461528,10
1986,Alex English,410112,11
1986,Dominique Wilkins,383855,12
1986,Kevin McHale,379696,13
1986,Alvin Robertson,378557,14
1986,Marques Johnson,363201,15
1986,Patrick Ewing,344843,16
1986,Adrian Dantley,323456,17
1986,Artis Gilmore,306899,18
1986,Clyde Drexler,257628,19
1986,Rolando Blackman,255204,20
1986,Robert Parish,251576,21
1986,Maurice Cheeks,247997,22
1986,Jeff Malone,207145,23
1985,Magic Johnson,957447,1
1985,Moses Malone,662445,2
1985,Isiah Thomas,660017,3
1985,Ralph Sampson,620824,4
1985,Michael Jordan,606193,5
1985,Julius Erving,590003,6
1985,Larry Bird,564521,7
1985,Kareem Abdul-Jabbar,554402,8
1985,George Gervin,452132,9
1985,Hakeem Olajuwon,449048,10
1985,Sidney Moncrief,403033,11
1985,Norm Nixon,386421,12
1985,Bernard King,381660,13
1985,Adrian Dantley,363327,14
1985,Alex English,351433,15
1985,Larry Nance,287665,16
1985,Dennis Johnson,282948,17
1985,Robert Parish,269810,18
1984,Moses Malone,927779,1
1984,Magic Johnson,788954,2
1984,Julius Erving,779932,3
1984,George Gervin,648607,4
1984,Larry Bird,598705,5
1984,Sidney Moncrief,574926,6
1984,Isiah Thomas,527370,7
1984,Alex English,510853,8
1984,Kareem Abdul-Jabbar,459088,9
1984,Ralph Sampson,457271,10
1984,Adrian Dantley,422060,11
1984,Rickey Green,418050,12
1984,Kiki Vandeweghe,398372,13
1984,Kelly Tripucka,390881,14
1984,Jack Sikma,228578,15
1984,Bill Laimbeer,200733,16
1984,Robert Parish,200426,17
1984,Kevin McHale,154963,18
1983,Julius Erving,707012,1
1983,Moses Malone,687741,2
1983,Magic Johnson,578795,3
1983,Kareem Abdul-Jabbar,545568,4
1983,Isiah Thomas,484039,5
1983,Maurice Lucas,431288,6
1983,Larry Bird,419327,7
1983,Jack Sikma,416514,8
1983,Maurice Cheeks,407325,9
1983,Alex English,404577,10
1983,David Thompson,387844,11
1983,Reggie Theus,385788,12
1983,George Gervin,380778,13
1983,Sidney Moncrief,353681,14
1983,Gus Williams,330520,15
1983,Andrew Toney,294567,16
1983,Marques Johnson,290236,17
1983,Jamaal Wilkes,283598,18
1983,Artis Gilmore,190342,19
1983,Robert Parish,166460,20
1983,Bill Laimbeer,143825,21
1982,Julius Erving,432230,1
1982,Larry Bird,380485,2
1982,Isiah Thomas,367969,3
1982,George Gervin,343977,4
1982,Kareem Abdul-Jabbar,283821,5
1982,Artis Gilmore,270313,6
1982,Tiny Archibald,253282,7
1982,Gus Williams,245373,8
1982,Adrian Dantley,237272,9
1982,Lonnie Shelton,234330,10
1982,Dennis Johnson,220914,11
1982,Moses Malone,216802,12
1982,Jack Sikma,215447,13
1982,Sidney Moncrief,215065,14
1982,Magic Johnson,212518,15
1982,Dan Roundfield,194187,16
1982,Bernard King,188213,17
1981,Julius Erving,304600,1
1981,Kareem Abdul-Jabbar,265200,2
1981,Eddie Johnson,258862,3
1981,Adrian Dantley,256837,4
1981,Dan Roundfield,253710,5
1981,Paul Westphal,250840,6
1981,Artis Gilmore,240191,7
1981,Reggie Theus,237209,8
1981,Jack Sikma,224047,9
1981,Marques Johnson,216801,10
1981,George Gervin,209549,11
1981,Walter Davis,172479,12
1981,Tiny Archibald,164234,13
1981,Moses Malone,136014,14
1981,Dennis Johnson,123287,15
1980,George Gervin,286463,1
1980,Kareem Abdul-Jabbar,201621,2
1980,Magic Johnson,185754,3
1980,Moses Malone,184410,4
1980,Julius Erving,180160,5
1980,Marques Johnson,158253,6
1980,World B. Free,155836,7
1980,Eddie Johnson,149678,8
1980,Adrian Dantley,145724,9
1980,Jack Sikma,134474,10
1980,John Drew,133317,11
1980,Dennis Johnson,129664,12
1980,Paul Westphal,127409,13
1980,Dan Roundfield,126006,14
1980,Dave Cowens,117331,15
1980,Larry Bird,114485,16
1980,Walter Davis,100546,17
1979,George Gervin,427540,1
1979,Julius Erving,343161,2
1979,David Thompson,321681,3
1979,Kareem Abdul-Jabbar,298480,4
1979,Marques Johnson,282063,5
1979,George McGinnis,264076,6
1979,Pete Maravich,252793,7
1979,Paul Westphal,251829,8
1979,Calvin Murphy,235528,9
1979,Doug Collins,231492,10
1979,Rudy Tomjanovich,218808,11
1979,Maurice Lucas,212689,12
1979,Larry Kenon,207437,13
1979,Moses Malone,202490,14
1979,Elvin Hayes,201997,15
1979,Artis Gilmore,193166,16
1979,Otis Birdsong,144173,17
1979,Campy Russell,132961,18
1979,Bob Dandridge,131230,19
1979,Bob Lanier,130633,20
1979,Dennis Johnson,121551,21
1979,Walter Davis,118546,22
1978,Julius Erving,396503,1
1978,David Thompson,321454,2
1978,Pete Maravich,309987,3
1978,Maurice Lucas,307461,4
1978,Bill Walton,286995,5
1978,Paul Westphal,264006,6
1978,Larry Kenon,229322,7
1978,Rick Barry,228413,8
1978,Dave Cowens,222109,9
1978,Doug Collins,216085,10
1978,Bobby Jones,214430,11
1978,Walt Frazier,201121,12
1978,George Gervin,201108,13
1978,Artis Gilmore,180882,14
1978,Lionel Hollins,179713,15
1978,Moses Malone,141734,16
1978,John Havlicek,100650,17
1978,Billy Knight,78091,18
1978,Truck Robinson,77349,19
1978,Elvin Hayes,76936,20
1978,Brian Winters,64522,21
1977,David Thompson,319047,1
1977,Julius Erving,310517,2
1977,Bob McAdoo,277943,3
1977,George McGinnis,244829,4
1977,Pete Maravich,235541,5
1977,John Havlicek,187610,6
1977,Dan Issel,182585,7
1977,Rick Barry,179453,8
1977,Bobby Jones,164892,9
1977,Paul Westphal,163173,10
1977,Kareem Abdul-Jabbar,146426,11
1977,Bill Walton,134621,12
1977,Norm Van Lier,134411,13
1977,George Gervin,128130,14
1977,Doug Collins,125173,15
1977,Billy Knight,103903,16
1977,Maurice Lucas,102624,17
1977,Don Buse,94376,18
1977,Dave Cowens,84776,19
1977,Jo Jo White,76552,20
1977,Bob Lanier,70700,21
1977,Phil Smith,66616,22
1977,Elvin Hayes,65963,23
1976,Rick Barry,135471,1
1976,John Havlicek,135273,2
1976,Bob McAdoo,131729,3
1976,Elvin Hayes,124035,4
1976,Walt Frazier,118303,5
1976,Bob Dandridge,112093,6
1976,Brian Winters,108863,7
1976,Kareem Abdul-Jabbar,101932,8
1976,Tiny Archibald,98772,9
1976,Dave Bing,75836,10
1976,Dave Cowens,75311,11
1976,John Drew,73609,12
1976,Alvan Adams,63224,13
1976,Jo Jo White,61208,14
1976,George McGinnis,59750,15
1976,Curtis Perry,56312,16
1976,Phil Chenier,48457,17
1976,Jamaal Wilkes,46882,18
1976,Randy Smith,42916,19
1976,Fred Brown,35585,20
1975,Bob McAdoo,98325,1
1975,Walt Frazier,91621,2
1975,John Havlicek,87715,3
1975,Kareem Abdul-Jabbar,77832,4
1975,Bob Lanier,65917,5
1975,Dave Cowens,62156,6
1975,Rick Barry,60547,7
1975,Gail Goodrich,58986,8
1975,Earl Monroe,52637,9
1975,Elvin Hayes,52444,10
1975,Spencer Haywood,50302,11
1975,Jo Jo White,49346,12
1975,Tiny Archibald,46724,13
1975,Charlie Scott,40736,14
1975,Bob Dandridge,36318,15
1975,Paul Silas,34145,16
1975,Dave Bing,31951,17
1975,Jim Price,28120,18
1975,Sidney Wicks,25527,19
1975,Phil Chenier,20491,20
1975,Rudy Tomjanovich,14017,21
1975,Wes Unseld,13983,22
2021,Mike Conley,135103,27
2019,Nikola Vucevic,255487,26
2019,D'Angelo Russell,222499,27
2018,Kemba Walker,100632,28
2017,Paul Millsap,39551,25
2016,Al Horford,41000,26
2015,Kyle Krover,55000,28
2014,Paul Millsap,75000,24
2014,Joe Johnson,75000,25
2013,David Lee,80000,25
2012,Tony Parker,60000,23
2012,Roy Hibbert,60000,24
2012,Andre Iguodala,60000,25
2010,Gerald Wallace,210000,24
2010,David Lee,210000,25
2010,Deron Williams,210000,26
2010,Zach Randolph,210000,27
2010,Chris Kaman,210000,28
2009,Danny Granger,365810,21
2009,Chauncey Billups,270000,22
2009,David West,270000,23
2009,Rashard Lewis,270000,24
2009,Mo Williams,270000,25
2009,Jameer Nelson,270000,26
2008,Antawn Jamison,240000,24
2008,Brandon Roy,240000,25
2008,David West,240000,26
2007,Joe Johnson,250000,29
2005,Rashard Lewis,150000,24
2004,Andrei Kirilenko,160000,22
2004,Sam Cassell,160000,23
2004,Michael Redd,160000,24
2003,Shawn Marion,160000,24
2003,Stephon Marbury,160000,25
2002,Wally Szczerbiak,60000,26
2001,Antonio Davis,210000,26
2001,Antonio McDyess,210000,27
2001,Glenn Robinson,210000,28
2000,Jerry Stackhouse,101000,23
2000,Dale Davis,101000,24
1998,Jayson Williams,107000,24
1997,Latrell Sprewell,170000,27
1997,Chris Gatling,170000,28
1997,Terrell Brandon,170000,29
1996,Terrell Brandon,175000,21
1996,Juwan Howard,175000,22
1996,Gary Payton,175000,23
1996,Sean Elliott,175000,24
1995,Mitch Richmond,250000,22
1995,Vin Baker,250000,23
1995,Tyrone Hill,250000,24
1995,Dana Barros,250000,25
1994,Charles Oakley,182000,21
1994,Horace Grant,182000,22
1994,John Starks,182000,23
1994,Clifford Robinson,182000,24
1994,Danny Manning,182000,25
1994,Latrell Sprewell,182000,26
1993,Dan Majerle,111000,23
1993,Danny Manning,111000,24
1993,Detlef Schrempf,111000,25
1993,Larry Nance,111000,26
1992,James Worthy,124000,23
1992,Otis Thorpe,124000,24
1992,Kevin Willis,124000,25
1992,Mark Price,124000,26
1992,Dominique Wilkins,124000,27
1991,Ricky Pierce,125000,24
1991,Hersey Hawkins,125000,25
1991,Brad Daugherty,125000,26
1990,Fat Lever,49000,24
1990,Rolando Blackman,49000,25
1989,Tom Chambers,185000,24
1989,Terry Cummings,185000,25
1988,Patrick Ewing,240000,22
1988,Danny Ainge,240000,23
1988,Brad Daugherty,240000,24
1988,Maurice Cheeks,240000,25
1987,Tom Chambers,174000,22
1987,Walter Davis,174000,23
1987,Joe Barry Carroll,174000,24
1987,Sleepy Floyd,174000,25
1986,Buck Williams,207000,24
1985,Bill Laimbeer,268820,19
1985,Rolando Blackman,239000,20
1985,Jack Sikma,239000,21
1985,Calvin Natt,239000,22
1985,Terry Cummings,239000,23
1985,Michael Ray Richardson,239000,24
1985,Jeff Ruland,239000,25
1984,Bernand King,154000,19
1984,Andrew Toney,154000,20
1984,Jeff Ruland,154000,21
1984,Otis Birdsong,154000,22
1984,Walter Davis,154000,23
1984,Jim Paxson,154000,24
1984,Mark Aguirre,154000,25
1983,Buck Williams,143000,22
1983,Kiki Vandeweghe,143000,23
1983,Jim Paxson,143000,24
1982,Bob Lanier,152512,18
1982,Buck Williams,102000,19
1982,Robert Parish,102000,20
1982,Michael Ray Richardson,102000,21
1982,Kelly Tripucka,102000,22
1982,Bobby Jones,102000,23
1982,Norm Nixon,102000,24
1982,Alex English,102000,25
1981,Truck Robinson,123000,16
1981,Robert Parish,123000,17
1981,Otis Birdsong,123000,18
1981,Mike Mitchell,123000,19
1981,Michael Ray Richardson,123000,20
1981,Larry Bird,123000,21
1981,Jamaal Wilkes,123000,22
1981,Bobby Jones,123000,23
1980,Michael Ray Richardson,72000,18
1980,Bill Cartwright,72000,19
1980,Tiny Archibald,72000,20
1980,Elvin Hayes,72000,21
1980,Otis Birdsong,72000,22
1980,Kermit Washington,72000,23
1980,Scott Wedman,72000,24
1979,Jack Sikma,86699,23
1978,Bob Lanier,46000,22
1978,Randy Smith,46000,23
1978,Walter Davis,46000,24
1977,Earl Monroe,59000,24
1977,Phil Chenier,59000,25
1977,Rudy Tomjanovich,59000,26
1976,Doug Collins,22000,21
1976,Scott Wedman,22000,22
1976,Norm Van Lier,22000,23
1975,Steve Mix,3600,23
1975,Sam Lacey,3600,24