Player,Year,Votes,Vote_Share
Karl Malone,1991,609201,0.0568504598328644
Isiah Thomas,1991,493414,0.04604525072672723
Joe Dumars,1991,391638,0.03654754405856745
Robert Parish,1991,388962,0.03629782051820434
Chris Mullin,1991,387990,0.03620711376139084
Kevin Johnson,1991,381463,0.03559801602299398
James Worthy,1991,355831,0.03320604525072673
Clyde Drexler,1991,349995,0.03266143143101107
John Stockton,1991,344118,0.032112991503240526
Tom Chambers,1991,332324,0.0310123788593532
Bernard King,1991,319390,0.029805381747598184
Dominique Wilkins,1991,257770,0.0240550213002235
Terry Porter,1991,196653,0.01835160066630272
Tim Hardaway,1991,180335,0.01682880966045624
Kevin McHale,1991,168688,0.015741915013741326
Alvin Robertson,1991,162421,0.015157080399594992
Kevin Duckworth,1991,152279,0.014210631914407162
Ricky Pierce,1991,125000,0.011664963581983698
Hersey Hawkins,1991,125000,0.011664963581983698
Brad Daugherty,1991,125000,0.011664963581983698
Michael Jordan,1990,321114,0.09246826815146972
Larry Bird,1990,248837,0.07165532004835438
Patrick Ewing,1990,245746,0.0707652329862637
Magic Johnson,1990,214348,0.06172383745875681
Hakeem Olajuwon,1990,202244,0.058238359037680834
Charles Barkley,1990,182639,0.052592886099379905
Isiah Thomas,1990,181960,0.05239736066581162
James Worthy,1990,163053,0.0469528844176884
A.C. Green,1990,160788,0.04630065303767047
Karl Malone,1990,159562,0.04594761300592566
John Stockton,1990,149548,0.043063972811886106
Clyde Drexler,1990,145782,0.041979512159723835
Dominique Wilkins,1990,132994,0.03829706850070867
Joe Dumars,1990,128964,0.03713658617776285
David Robinson,1990,119301,0.034354020250560516
Scottie Pippen,1990,106717,0.030730320609878094
Kevin McHale,1990,94718,0.027275078080591035
Dennis Rodman,1990,87078,0.025075057001855045
Kevin Johnson,1990,78812,0.02269477241588231
Chris Mullin,1990,72817,0.02096844697517259
Tom Chambers,1990,64028,0.018437558852003662
Reggie Miller,1990,57616,0.016591153726760836
Robert Parish,1990,56028,0.016133871858562833
Fat Lever,1990,49000,0.014110082834825066
Rolando Blackman,1990,49000,0.014110082834825066
Michael Jordan,1989,1003062,0.09132532257333206
Magic Johnson,1989,856751,0.0780042125412236
Karl Malone,1989,760168,0.06921066475444658
Dominique Wilkins,1989,715991,0.06518850184196251
Hakeem Olajuwon,1989,670472,0.06104415447538347
Alex English,1989,525186,0.047816367144800594
Charles Barkley,1989,486526,0.04429650798286941
Moses Malone,1989,443027,0.04033607462319935
Isiah Thomas,1989,402360,0.03663348505935415
Mark Price,1989,388715,0.03539115504733783
Patrick Ewing,1989,382833,0.034855619310388025
Larry Nance,1989,380819,0.034672251582707495
Dale Ellis,1989,379616,0.034562722597404776
John Stockton,1989,353126,0.03215089980383113
James Worthy,1989,342074,0.031144653465040043
Mark Eaton,1989,336592,0.03064553634331974
Kevin Duckworth,1989,333385,0.030353550095717226
Mark Jackson,1989,331150,0.030150061083122393
Kevin McHale,1989,320698,0.029198442667175556
Clyde Drexler,1989,315395,0.02871562287577046
Kareem Abdul-Jabbar,1989,310119,0.028235261340893353
Brad Daugherty,1989,301438,0.027444886343875128
Chris Mullin,1989,273891,0.024936827359557528
Tom Chambers,1989,185000,0.016843609543643796
Terry Cummings,1989,185000,0.016843609543643796
Michael Jordan,1988,1121285,0.0866503842443028
Magic Johnson,1988,1022122,0.07898729051450368
Hakeem Olajuwon,1988,831339,0.06424400913886696
Larry Bird,1988,747005,0.057726867194705545
Dominique Wilkins,1988,694354,0.05365811626978745
Charles Barkley,1988,687785,0.05315047871635471
Isiah Thomas,1988,666895,0.05153614647534241
Moses Malone,1988,601520,0.04648411343292117
Alex English,1988,521080,0.040267891055370666
Kareem Abdul-Jabbar,1988,507612,0.03922711429031783
Karl Malone,1988,499963,0.03863601676463554
Xavier McDaniel,1988,474087,0.036636377651737766
Fat Lever,1988,468339,0.03619218513276511
Doc Rivers,1988,455391,0.03519159279879539
Alvin Robertson,1988,440925,0.0340736928371638
Clyde Drexler,1988,430880,0.03329743781749082
James Worthy,1988,409712,0.03166162236139945
Steve Johnson,1988,391672,0.030267531713823483
Kevin McHale,1988,350912,0.02711769053892345
Mark Aguirre,1988,347357,0.026842968130268652
James Donaldson,1988,310100,0.023963830920915107
Patrick Ewing,1988,240000,0.01854666049990205
Danny Ainge,1988,240000,0.01854666049990205
Brad Daugherty,1988,240000,0.01854666049990205
Maurice Cheeks,1988,240000,0.01854666049990205
Michael Jordan,1987,1141733,0.0872328547163784
Dominique Wilkins,1987,1029131,0.07862962269385332
Magic Johnson,1987,949304,0.07253052851557841
Larry Bird,1987,902701,0.06896987753295167
Julius Erving,1987,819468,0.06261055166901647
Hakeem Olajuwon,1987,792148,0.06052319710288633
Isiah Thomas,1987,713173,0.05448919904797683
Ralph Sampson,1987,611480,0.04671945717779119
James Worthy,1987,588778,0.04498493582492566
Kareem Abdul-Jabbar,1987,572779,0.04376254981820838
Moses Malone,1987,565491,0.0432057181901719
Robert Parish,1987,510471,0.03900197557565946
Charles Barkley,1987,479176,0.03661091550439143
Alvin Robertson,1987,457251,0.03493575998234153
Kevin McHale,1987,455859,0.03482940575261777
Bill Laimbeer,1987,432104,0.03301443109235344
Alex English,1987,343348,0.026233126485053066
Mark Aguirre,1987,339337,0.025926670439491283
Rolando Blackman,1987,307838,0.023520023972487872
Jeff Malone,1987,206255,0.015758686531375223
Maurice Cheeks,1987,174512,0.01333339751260989
Tom Chambers,1987,174000,0.013294278715470117
Walter Davis,1987,174000,0.013294278715470117
Joe Barry Carroll,1987,174000,0.013294278715470117
Sleepy Floyd,1987,174000,0.013294278715470117
Magic Johnson,1986,1060892,0.09800236800041977
Michael Jordan,1986,719143,0.0664325086162643
Larry Bird,1986,702440,0.0648895301107133
Kareem Abdul-Jabbar,1986,666826,0.06159960395992043
Isiah Thomas,1986,666013,0.06152450119245274
Moses Malone,1986,615089,0.05682027815367652
Julius Erving,1986,596875,0.05513771750588236
Ralph Sampson,1986,516087,0.04767473795092492
Sidney Moncrief,1986,503105,0.04647549548196347
James Worthy,1986,461528,0.04263472332574638
Alex English,1986,410112,0.037885050641712964
Dominique Wilkins,1986,383855,0.035459499146756814
Kevin McHale,1986,379696,0.035075301840609016
Alvin Robertson,1986,378557,0.034970084064292035
Marques Johnson,1986,363201,0.03355153781923179
Patrick Ewing,1986,344843,0.031855674836240404
Adrian Dantley,1986,323456,0.02988000092746837
Artis Gilmore,1986,306899,0.02835050951177012
Clyde Drexler,1986,257628,0.02379898619577878
Rolando Blackman,1986,255204,0.023575063553292065
Robert Parish,1986,251576,0.023239918608184057
Maurice Cheeks,1986,247997,0.02290930015213622
Jeff Malone,1986,207145,0.019135501558544085
Buck Williams,1986,207000,0.019122106846019095
Magic Johnson,1985,957447,0.09078640933292333
Moses Malone,1985,662445,0.06281392383134356
Isiah Thomas,1985,660017,0.06258369761322356
Ralph Sampson,1985,620824,0.05886736476034996
Michael Jordan,1985,606193,0.057480033707090615
Julius Erving,1985,590003,0.05594487618181765
Larry Bird,1985,564521,0.0535286387476604
Kareem Abdul-Jabbar,1985,554402,0.052569141589029325
George Gervin,1985,452132,0.0428717629534724
Hakeem Olajuwon,1985,449048,0.04257933393506957
Sidney Moncrief,1985,403033,0.038216129887791266
Norm Nixon,1985,386421,0.036640957756238796
Bernard King,1985,381660,0.03618951334747878
Adrian Dantley,1985,363327,0.034451153686525765
Alex English,1985,351433,0.033323348646031835
Larry Nance,1985,287665,0.027276781316099365
Dennis Johnson,1985,282948,0.02682950904638271
Robert Parish,1985,269810,0.02558374625657195
Bill Laimbeer,1985,268820,0.025489873128096332
Rolando Blackman,1985,239000,0.022662300712800475
Jack Sikma,1985,239000,0.022662300712800475
Calvin Natt,1985,239000,0.022662300712800475
Terry Cummings,1985,239000,0.022662300712800475
Michael Ray Richardson,1985,239000,0.022662300712800475
Jeff Ruland,1985,239000,0.022662300712800475
Moses Malone,1984,927779,0.09500531869793687
Magic Johnson,1984,788954,0.08078952660925941
Julius Erving,1984,779932,0.07986566652480742
George Gervin,1984,648607,0.0664178804917041
Larry Bird,1984,598705,0.06130787540033596
Sidney Moncrief,1984,574926,0.05887288660093627
Isiah Thomas,1984,527370,0.054003113803751716
Alex English,1984,510853,0.05231175966776263
Kareem Abdul-Jabbar,1984,459088,0.04701098187218987
Ralph Sampson,1984,457271,0.0468249196051261
Adrian Dantley,1984,422060,0.043219284775416596
Rickey Green,1984,418050,0.04280865753770295
Kiki Vandeweghe,1984,398372,0.040793614449491214
Kelly Tripucka,1984,390881,0.04002653000118375
Jack Sikma,1984,228578,0.023406571756136984
Bill Laimbeer,1984,200733,0.0205552212738087
Robert Parish,1984,200426,0.020523784225933865
Kevin McHale,1984,154963,0.015868336318658204
Bernand King,1984,154000,0.015769724341122483
Andrew Toney,1984,154000,0.015769724341122483
Jeff Ruland,1984,154000,0.015769724341122483
Otis Birdsong,1984,154000,0.015769724341122483
Walter Davis,1984,154000,0.015769724341122483
Jim Paxson,1984,154000,0.015769724341122483
Mark Aguirre,1984,154000,0.015769724341122483
Julius Erving,1983,707012,0.08109028452801839
Moses Malone,1983,687741,0.07888000963432573
Magic Johnson,1983,578795,0.06638451855611278
Kareem Abdul-Jabbar,1983,545568,0.06257356925961927
Isiah Thomas,1983,484039,0.05551654035950945
Maurice Lucas,1983,431288,0.0494662984977907
Larry Bird,1983,419327,0.04809443933098784
Jack Sikma,1983,416514,0.047771804113513
Maurice Cheeks,1983,407325,0.04671787769567574
Alex English,1983,404577,0.046402697611203345
David Thompson,1983,387844,0.04448351698766749
Reggie Theus,1983,385788,0.044247705396082616
George Gervin,1983,380778,0.043673086683125306
Sidney Moncrief,1983,353681,0.040565213775938844
Gus Williams,1983,330520,0.037908777845638605
Andrew Toney,1983,294567,0.03378517174045815
Marques Johnson,1983,290236,0.033288430493787866
Jamaal Wilkes,1983,283598,0.03252708937270791
Artis Gilmore,1983,190342,0.021831152706930118
Robert Parish,1983,166460,0.019092022147479733
Bill Laimbeer,1983,143825,0.016495915447322318
Buck Williams,1983,143000,0.01640129260536827
Kiki Vandeweghe,1983,143000,0.01640129260536827
Jim Paxson,1983,143000,0.01640129260536827
Julius Erving,1982,432230,0.08035941703493961
Larry Bird,1982,380485,0.07073908056020868
Isiah Thomas,1982,367969,0.06841212855870646
George Gervin,1982,343977,0.06395157946793933
Kareem Abdul-Jabbar,1982,283821,0.052767485140489075
Artis Gilmore,1982,270313,0.050256102299622026
Tiny Archibald,1982,253282,0.047089729693551054
Gus Williams,1982,245373,0.0456193027696232
Adrian Dantley,1982,237272,0.04411317955420538
Lonnie Shelton,1982,234330,0.04356620825439557
Dennis Johnson,1982,220914,0.04107192988653413
Moses Malone,1982,216802,0.040307434310457343
Jack Sikma,1982,215447,0.04005551516999429
Sidney Moncrief,1982,215065,0.039984494423384045
Magic Johnson,1982,212518,0.039510960806587454
Dan Roundfield,1982,194187,0.03610289456021983
Bernard King,1982,188213,0.0349922193239643
Bob Lanier,1982,152512,0.028354754206863727
Buck Williams,1982,102000,0.01896365485404493
Robert Parish,1982,102000,0.01896365485404493
Michael Ray Richardson,1982,102000,0.01896365485404493
Kelly Tripucka,1982,102000,0.01896365485404493
Bobby Jones,1982,102000,0.01896365485404493
Norm Nixon,1982,102000,0.01896365485404493
Alex English,1982,102000,0.01896365485404493
Julius Erving,1981,304600,0.07087248072296445
Kareem Abdul-Jabbar,1981,265200,0.06170512766818836
Eddie Johnson,1981,258862,0.06023044026562056
Adrian Dantley,1981,256837,0.05975927554643474
Dan Roundfield,1981,253710,0.05903170415043766
Paul Westphal,1981,250840,0.05836392995583849
Artis Gilmore,1981,240191,0.05588618521775954
Reggie Theus,1981,237209,0.05519235154239552
Jack Sikma,1981,224047,0.05212989720465534
Marques Johnson,1981,216801,0.05044394186874398
George Gervin,1981,209549,0.048756590489220215
Walter Davis,1981,172479,0.04013136770392707
Tiny Archibald,1981,164234,0.038212971106550704
Moses Malone,1981,136014,0.03164691264955117
Dennis Johnson,1981,123287,0.02868567147371017
Truck Robinson,1981,123000,0.028618894054250256
Robert Parish,1981,123000,0.028618894054250256
Otis Birdsong,1981,123000,0.028618894054250256
Mike Mitchell,1981,123000,0.028618894054250256
Michael Ray Richardson,1981,123000,0.028618894054250256
Larry Bird,1981,123000,0.028618894054250256
Jamaal Wilkes,1981,123000,0.028618894054250256
Bobby Jones,1981,123000,0.028618894054250256
George Gervin,1980,286463,0.09137193948195466
Kareem Abdul-Jabbar,1980,201621,0.06431023137470172
Magic Johnson,1980,185754,0.05924919883730536
Moses Malone,1980,184410,0.05882050861670533
Julius Erving,1980,180160,0.057464903380432905
Marques Johnson,1980,158253,0.05047731657783997
World B. Free,1980,155836,0.04970637590582339
Eddie Johnson,1980,149678,0.04774218365994914
Adrian Dantley,1980,145724,0.04648099234130886
Jack Sikma,1980,134474,0.04289262553941127
John Drew,1980,133317,0.042523581949207225
Dennis Johnson,1980,129664,0.041358399377888835
Paul Westphal,1980,127409,0.04063913118781958
Dan Roundfield,1980,126006,0.04019162197688071
Dave Cowens,1980,117331,0.037424592465195236
Larry Bird,1980,114485,0.03651681540579963
Walter Davis,1980,100546,0.032070749196764024
Michael Ray Richardson,1980,72000,0.022965547532144588
Bill Cartwright,1980,72000,0.022965547532144588
Tiny Archibald,1980,72000,0.022965547532144588
Elvin Hayes,1980,72000,0.022965547532144588
Otis Birdsong,1980,72000,0.022965547532144588
Kermit Washington,1980,72000,0.022965547532144588
Scott Wedman,1980,72000,0.022965547532144588
George Gervin,1979,427540,0.08531990374021432
Julius Erving,1979,343161,0.06848122628852432
David Thompson,1979,321681,0.06419467641637247
Kareem Abdul-Jabbar,1979,298480,0.05956468369831869
Marques Johnson,1979,282063,0.05628850635888121
George McGinnis,1979,264076,0.052699019741078816
Pete Maravich,1979,252793,0.05044738369789961
Paul Westphal,1979,251829,0.05025500780978255
Calvin Murphy,1979,235528,0.0470019794361351
Doug Collins,1979,231492,0.04619655507468236
Rudy Tomjanovich,1979,218808,0.04366533540157369
Maurice Lucas,1979,212689,0.042444227456150174
Larry Kenon,1979,207437,0.041396138074002053
Moses Malone,1979,202490,0.040408914507077696
Elvin Hayes,1979,201997,0.040310531402470116
Artis Gilmore,1979,193166,0.03854821660167994
Otis Birdsong,1979,144173,0.02877117107624531
Campy Russell,1979,132961,0.026533703796609992
Bob Dandridge,1979,131230,0.02618826535020893
Bob Lanier,1979,130633,0.026069128000410294
Dennis Johnson,1979,121551,0.024256723627091713
Walter Davis,1979,118546,0.023657045677100266
Jack Sikma,1979,86699,0.01730165676749039
Julius Erving,1978,396503,0.08936545597111117
David Thompson,1978,321454,0.07245060764669516
Pete Maravich,1978,309987,0.06986612862983846
Maurice Lucas,1978,307461,0.06929680849409414
Bill Walton,1978,286995,0.06468409832064083
Paul Westphal,1978,264006,0.05950274416362342
Larry Kenon,1978,229322,0.05168552342405267
Rick Barry,1978,228413,0.05148064931344635
Dave Cowens,1978,222109,0.05005982819874637
Doug Collins,1978,216085,0.04870211462086682
Bobby Jones,1978,214430,0.04832910400144606
Walt Frazier,1978,201121,0.04532946754593496
George Gervin,1978,201108,0.045326537553154016
Artis Gilmore,1978,180882,0.04076791955411821
Lionel Hollins,1978,179713,0.04050444558789291
Moses Malone,1978,141734,0.03194458437038174
John Havlicek,1978,100650,0.02268490564634401
Billy Knight,1978,78091,0.017600466635157973
Truck Robinson,1978,77349,0.017433231662583835
Elvin Hayes,1978,76936,0.0173401480457737
Brian Winters,1978,64522,0.014542230324027901
Bob Lanier,1978,46000,0.010367666763356428
Randy Smith,1978,46000,0.010367666763356428
Walter Davis,1978,46000,0.010367666763356428
David Thompson,1977,319047,0.08447411752775652
Julius Erving,1977,310517,0.08221562826908377
Bob McAdoo,1977,277943,0.07359100586439374
George McGinnis,1977,244829,0.0648234075863528
Pete Maravich,1977,235541,0.0623642225647171
John Havlicek,1977,187610,0.049673525184008624
Dan Issel,1977,182585,0.04834305525143764
Rick Barry,1977,179453,0.04751379518600234
Bobby Jones,1977,164892,0.043658477238108576
Paul Westphal,1977,163173,0.04320333737460817
Kareem Abdul-Jabbar,1977,146426,0.038769231909779045
Bill Walton,1977,134621,0.035643620456246604
Norm Van Lier,1977,134411,0.03558801872772125
George Gervin,1977,128130,0.03392499750454147
Doug Collins,1977,125173,0.03314207221287731
Billy Knight,1977,103903,0.02751041142366637
Maurice Lucas,1977,102624,0.027171770419933378
Don Buse,1977,94376,0.024987946339566112
Dave Cowens,1977,84776,0.022446153035549893
Jo Jo White,1977,76552,0.020268683438442663
Bob Lanier,1977,70700,0.01871924860353611
Phil Smith,1977,66616,0.017637927368785878
Elvin Hayes,1977,65963,0.017465032470085608
Earl Monroe,1977,59000,0.015621438014266345
Phil Chenier,1977,59000,0.015621438014266345
Rudy Tomjanovich,1977,59000,0.015621438014266345
Rick Barry,1976,135471,0.07646984777831528
John Havlicek,1976,135273,0.07635808194016463
Bob McAdoo,1976,131729,0.07435758633205404
Elvin Hayes,1976,124035,0.07001452391422028
Walt Frazier,1976,118303,0.06677895934715203
Bob Dandridge,1976,112093,0.06327357624151807
Brian Winters,1976,108863,0.06145032544744437
Kareem Abdul-Jabbar,1976,101932,0.05753795663824164
Tiny Archibald,1976,98772,0.0557542190192717
Dave Bing,1976,75836,0.042807444959558266
Dave Cowens,1976,75311,0.042511096146280035
John Drew,1976,73609,0.0415503615173285
Alvan Adams,1976,63224,0.035688299753720024
Jo Jo White,1976,61208,0.03455032031073161
George McGinnis,1976,59750,0.0337273173207132
Curtis Perry,1976,56312,0.031786655949188315
Phil Chenier,1976,48457,0.027352713228615894
Jamaal Wilkes,1976,46882,0.026463666788781193
Randy Smith,1976,42916,0.024224963182187913
Fred Brown,1976,35585,0.02008680480096367
Doug Collins,1976,22000,0.012418426461183104
Scott Wedman,1976,22000,0.012418426461183104
Norm Van Lier,1976,22000,0.012418426461183104
Bob McAdoo,1975,98325,0.0888179288914583
Walt Frazier,1975,91621,0.08276214048272872
John Havlicek,1975,87715,0.07923381268969504
Kareem Abdul-Jabbar,1975,77832,0.07030640265934383
Bob Lanier,1975,65917,0.0595434672640555
Dave Cowens,1975,62156,0.0561461193814135
Rick Barry,1975,60547,0.05469269403092932
Gail Goodrich,1975,58986,0.05328262754733343
Earl Monroe,1975,52637,0.047547514091631736
Elvin Hayes,1975,52444,0.047373175314351784
Spencer Haywood,1975,50302,0.04543828587946235
Jo Jo White,1975,49346,0.044574721780604135
Tiny Archibald,1975,46724,0.042206243676831914
Charlie Scott,1975,40736,0.03679722503251915
Bob Dandridge,1975,36318,0.032806402659343835
Paul Silas,1975,34145,0.03084351062292239
Dave Bing,1975,31951,0.028861649082237317
Jim Price,1975,28120,0.02540106951871658
Sidney Wicks,1975,25527,0.02305878739702269
Phil Chenier,1975,20491,0.018509719612660788
Rudy Tomjanovich,1975,14017,0.012661692441104206
Wes Unseld,1975,13983,0.012630979910391676
Steve Mix,1975,3600,0.003251915016620899
Sam Lacey,1975,3600,0.003251915016620899
