date,LeBron James,Allen Iverson,Bill Russell,Bob Pettit,Carmelo Anthony,Charles Barkley,Chris Paul,Clyde Drexler,David Robinson,Dirk Nowitzki,Dominique Wilkins,Dwyane Wade,Elgin Baylor,Elvin Hayes,Gary Payton,Giannis Antetokounmpo,Hakeem Olajuwon,Isiah Thomas,James Harden,Jason Kidd,Jerry West,John Havlicek,John Stockton,Julius Erving,Kareem Abdul-Jabbar,Karl Malone,Kawhi Leonard,Kevin Durant,Kevin Garnett,Kobe Bryant,Larry Bird,Magic Johnson,Michael Jordan,Moses Malone,Nikola Jokic,Oscar Robertson,Patrick Ewing,Paul Pierce,Ray Allen,Rick Barry,Russell Westbrook,Scottie Pippen,Shaquille O'Neal,Stephen Curry,Steve Nash,Tim Duncan,Tracy McGrady,Walt Frazier,Willis Reed
2021-05-02,22,2,1,0,3,2,3,0,1,1,0,1,0,0,1,3,0,0,4,0,0,0,0,0,0,1,2,5,1,8,2,2,35,0,2,0,0,1,1,0,6,1,3,7,1,1,0,0,0
2021-05-09,18,2,1,0,2,1,3,0,1,1,0,1,0,0,1,2,0,0,5,0,1,0,0,0,0,1,2,4,2,11,2,2,29,0,1,1,0,1,1,0,8,1,3,9,1,3,0,0,0
2021-05-16,25,2,1,0,1,2,3,0,1,1,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,1,2,4,2,18,2,2,27,0,2,0,0,1,1,0,5,1,3,12,1,5,0,0,0
2021-05-23,25,2,1,0,3,2,12,0,1,1,1,2,0,0,0,3,0,0,5,1,1,0,0,0,0,1,5,7,1,9,2,2,20,0,2,0,0,1,1,0,6,5,3,5,1,1,1,0,0
2021-05-30,32,2,1,0,3,3,10,0,1,1,0,2,0,0,1,2,0,0,6,2,0,0,1,0,0,1,7,7,1,9,2,2,21,0,2,0,0,1,1,0,4,2,3,4,2,1,0,0,0
2021-06-06,19,3,1,0,1,3,9,0,1,1,0,3,0,0,0,6,0,0,21,2,0,0,1,0,0,2,7,15,1,8,2,2,18,0,10,0,0,1,1,0,2,2,3,3,3,1,0,0,0
2021-06-13,17,2,1,0,4,6,26,0,1,1,0,2,0,0,0,7,0,0,17,1,1,0,1,0,0,1,26,21,1,8,2,2,18,0,4,0,0,1,1,0,2,2,3,4,4,1,0,0,0
2021-06-20,15,2,1,0,3,3,24,0,1,1,0,2,0,0,1,10,1,0,7,4,0,0,1,0,0,1,25,21,1,9,2,2,19,0,1,0,0,1,1,0,2,3,3,4,3,1,0,0,0
2021-06-27,14,2,1,0,2,3,22,0,1,1,0,2,0,0,1,30,0,0,3,3,0,0,0,0,0,1,19,5,1,7,2,2,18,0,1,0,0,0,1,0,2,6,3,3,2,1,0,0,0
2021-07-04,16,2,1,0,1,3,17,0,1,1,0,1,0,0,1,17,0,1,8,1,0,0,0,0,1,1,3,5,1,9,2,3,18,0,1,0,0,1,1,0,2,3,3,3,1,1,0,0,0
2021-07-11,38,2,1,0,1,2,9,0,1,1,0,1,0,0,0,13,0,1,3,1,0,0,0,0,1,1,3,5,1,9,2,2,27,0,1,1,0,0,1,0,1,2,3,3,1,1,0,0,0
2021-07-18,53,2,2,0,1,3,21,0,1,1,0,2,0,0,1,64,1,1,3,1,1,0,0,0,1,1,2,8,1,10,3,3,37,0,1,1,1,0,1,0,3,2,4,3,1,1,0,0,0
2021-07-25,30,2,1,0,2,2,3,0,1,1,0,2,0,0,1,8,0,1,3,1,0,0,0,0,0,1,2,9,1,9,2,2,26,0,1,0,0,0,1,0,24,2,3,4,1,1,0,0,0
2021-08-01,23,2,1,0,17,2,6,0,1,1,0,2,0,0,1,4,0,1,3,0,0,0,0,0,0,1,10,15,1,9,2,2,22,0,0,0,1,0,1,0,8,2,3,5,1,1,0,0,0
2021-08-08,19,2,1,0,3,1,2,0,1,1,0,1,0,0,2,3,0,2,2,1,0,0,1,0,0,1,3,6,1,8,2,2,21,0,0,0,0,0,1,0,4,2,3,3,1,1,0,0,0
2021-08-15,19,1,1,0,2,1,2,0,1,1,0,1,0,0,1,3,0,1,2,1,0,0,0,0,0,1,2,5,1,9,2,2,20,0,0,0,0,0,1,0,2,1,2,3,1,1,1,0,0
2021-08-22,17,2,1,0,1,1,2,0,1,1,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,1,1,3,1,20,2,2,21,0,0,0,0,0,1,0,2,1,3,4,1,1,1,0,0
2021-08-29,14,2,1,0,2,1,2,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,3,0,7,2,2,17,0,0,0,0,0,1,0,1,1,3,3,1,1,0,0,0
2021-09-05,13,1,1,0,1,1,1,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,3,0,7,2,2,17,0,0,0,0,2,1,0,2,1,3,3,3,1,0,0,0
2021-09-12,12,1,1,0,2,1,1,0,1,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,2,0,7,1,2,15,0,0,0,0,1,1,0,5,1,3,3,1,0,0,0,0
2021-09-19,11,1,0,0,2,1,1,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,3,0,6,1,2,16,0,0,0,0,0,1,0,2,1,3,3,1,1,0,0,0
2021-09-26,12,1,0,0,2,1,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,3,0,6,1,2,15,0,0,0,0,0,0,0,2,1,3,3,1,0,0,0,0
2021-10-03,12,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,3,0,6,1,2,14,0,0,0,0,0,0,0,2,1,2,3,1,0,0,0,0
2021-10-10,12,1,1,0,3,1,1,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,1,1,3,0,6,1,2,14,0,0,0,0,0,0,0,3,1,3,3,1,0,0,0,0
2021-10-17,17,2,1,0,3,2,3,0,0,0,0,1,0,0,1,4,0,0,3,1,0,0,0,0,0,1,4,5,0,11,1,2,15,0,1,0,0,0,1,0,6,1,3,8,1,1,1,0,0
2021-10-24,20,2,1,0,5,1,2,0,0,0,0,1,0,0,1,3,0,0,6,1,0,0,0,0,0,1,2,5,0,11,1,2,17,0,2,0,0,0,1,0,6,1,8,6,1,0,0,0,0
2021-10-31,18,2,0,0,4,1,2,0,1,0,0,1,0,0,5,3,0,0,4,1,0,0,1,0,0,1,2,5,1,10,2,3,18,0,1,0,0,0,1,0,5,4,4,6,1,0,0,0,0
2021-11-07,20,2,0,0,4,1,2,0,1,0,0,1,0,0,6,4,0,0,4,0,0,0,0,0,1,1,2,6,1,8,1,3,17,0,6,0,0,0,1,0,6,4,3,10,1,1,0,0,0
2021-11-14,21,2,1,0,2,1,3,0,0,1,0,2,0,0,3,4,0,0,4,1,0,0,0,0,0,1,2,6,1,9,1,2,17,0,1,0,0,0,1,0,4,2,3,12,1,1,0,0,0
2021-11-21,51,2,1,0,2,2,2,0,0,1,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,1,2,7,1,7,2,2,17,0,1,0,0,0,1,0,4,2,3,8,1,1,0,0,0
2021-11-28,27,2,1,0,2,1,3,0,0,0,0,1,0,0,3,4,0,0,4,0,0,0,0,0,0,1,2,6,1,8,1,2,17,0,1,0,0,0,1,0,3,2,3,9,1,1,0,0,0
2021-12-05,21,2,1,0,2,2,2,0,1,0,0,1,0,0,1,4,0,0,4,1,0,0,0,0,0,1,2,7,1,11,2,2,18,0,1,0,1,0,2,0,3,2,3,10,1,1,0,0,0
2021-12-12,20,2,1,0,2,1,3,0,1,1,0,1,0,0,1,3,0,2,4,0,0,0,0,0,0,1,2,9,1,8,2,2,18,0,1,0,0,0,8,0,4,2,3,25,1,1,0,0,0
2021-12-19,21,2,1,0,2,2,3,0,1,1,0,1,0,0,2,4,0,1,3,0,0,0,0,0,0,1,2,6,1,9,2,2,18,0,1,0,1,0,1,0,3,2,3,11,1,1,0,0,0
2021-12-26,34,2,1,0,2,1,3,0,1,1,0,2,0,0,2,4,0,1,6,0,1,0,0,0,1,1,2,8,1,10,2,3,21,0,1,0,0,0,1,0,7,2,4,9,1,1,0,0,0
2022-01-02,24,2,1,0,2,1,3,0,1,8,0,1,0,0,2,4,0,1,4,1,0,0,0,0,0,1,3,6,1,11,2,2,21,0,2,0,1,0,1,0,4,2,4,9,1,1,0,0,0
2022-01-09,19,2,1,0,1,1,2,0,1,2,0,1,0,0,2,4,0,1,3,0,0,0,0,0,0,1,2,6,1,10,2,2,20,0,1,0,1,0,1,0,6,2,4,9,1,1,0,0,0
2022-01-16,18,1,1,0,2,1,3,0,1,1,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,1,2,7,1,10,2,2,20,0,2,0,1,0,1,0,7,2,4,7,1,1,0,0,0
2022-01-23,23,2,1,0,2,1,3,0,1,1,0,1,0,0,1,3,0,0,5,0,0,0,3,0,0,1,2,5,1,27,2,2,20,0,2,0,1,0,1,0,6,2,4,7,1,1,0,0,0
2022-01-30,21,2,1,0,2,1,4,0,1,1,0,1,0,0,2,3,0,0,7,0,2,0,1,0,0,1,2,5,1,11,2,3,20,0,2,0,1,0,1,0,4,2,4,7,1,1,0,0,0
2022-02-06,20,2,1,0,2,1,4,0,0,1,0,1,0,0,1,6,0,0,31,0,1,0,0,0,0,1,2,7,1,9,2,2,19,0,2,0,1,0,1,0,10,1,4,6,1,1,0,0,0
2022-02-13,27,2,1,0,2,2,4,0,1,1,0,1,0,0,1,5,0,0,13,0,1,0,0,0,1,1,2,5,1,9,2,4,23,0,2,0,1,0,1,1,4,2,5,7,1,1,1,0,0
2022-02-20,28,3,1,0,2,3,5,0,1,1,1,2,0,0,1,5,1,1,10,1,2,0,1,1,1,2,2,7,2,12,3,4,27,1,2,0,1,1,2,0,3,2,5,12,1,1,1,0,0
2022-02-27,21,2,1,0,2,2,3,0,1,1,0,1,0,0,1,5,0,1,13,1,1,0,0,0,1,1,2,6,1,8,2,3,19,0,2,0,1,0,1,0,5,2,4,7,1,1,1,0,0
2022-03-06,27,2,1,0,2,2,2,0,1,1,0,1,0,0,1,4,0,1,10,0,3,0,0,0,1,1,2,8,1,8,3,8,19,0,3,0,1,0,1,0,8,2,5,8,1,1,1,0,0
2022-03-13,26,2,1,0,2,3,2,0,1,1,0,1,0,0,1,5,0,1,6,1,6,0,0,0,1,2,2,9,4,7,3,8,18,0,2,0,0,1,2,0,7,2,4,12,1,1,1,0,0
2022-03-20,23,2,1,0,1,4,3,0,1,1,0,1,0,0,1,4,1,1,5,0,4,0,1,0,1,3,2,7,1,8,4,7,18,0,2,0,0,0,1,0,4,2,4,6,1,1,1,0,0
2022-03-27,25,2,1,0,1,3,5,0,1,1,0,1,0,0,1,7,1,0,5,0,3,0,1,0,1,1,3,7,1,7,3,6,19,0,2,0,0,0,1,0,4,1,4,6,1,1,0,0,0
2022-04-03,25,2,1,0,2,4,3,0,1,1,0,1,0,0,1,6,0,0,5,1,2,0,0,0,2,1,3,8,1,8,3,7,20,0,3,0,0,1,1,0,4,1,4,5,1,1,0,0,0
2022-04-10,16,2,1,0,1,2,2,0,1,1,0,1,0,0,1,3,0,0,4,1,2,0,0,0,1,1,6,6,1,8,2,10,19,0,2,0,0,0,1,0,4,1,4,6,1,1,0,0,0
2022-04-17,16,2,1,0,1,3,7,0,1,1,0,3,1,0,3,6,0,0,7,1,3,0,0,0,1,1,2,11,1,8,5,11,19,0,3,0,0,1,1,0,2,2,5,11,2,1,1,0,0
2022-04-24,16,2,1,0,1,4,10,0,1,1,0,2,0,0,2,6,0,0,7,1,3,0,0,1,1,1,2,15,1,9,4,11,18,0,3,0,0,0,1,0,2,2,4,7,2,1,1,0,0
2022-05-01,14,2,1,0,1,2,8,0,1,1,0,2,0,0,10,9,0,0,9,2,2,0,0,0,1,1,1,5,1,9,3,8,18,0,1,0,0,0,1,0,2,2,4,7,1,1,0,0,0
2022-05-08,15,2,1,0,1,3,15,0,1,1,0,1,0,0,2,12,0,0,11,1,2,0,0,1,1,1,2,4,1,8,5,8,18,0,5,0,0,0,1,0,2,1,4,9,1,1,0,0,0
2022-05-15,17,2,1,0,1,3,10,0,1,2,0,1,0,0,2,6,0,0,4,4,1,0,1,0,1,1,2,5,1,7,3,5,18,0,1,0,0,1,1,0,2,2,3,9,1,1,0,0,0
2022-05-22,16,2,1,0,1,4,3,0,1,1,0,1,0,0,2,3,0,0,2,2,1,0,0,0,1,1,2,5,1,7,3,5,18,0,1,0,0,1,1,0,2,1,3,11,1,1,1,0,0
2022-05-29,20,2,1,0,1,2,2,0,1,1,0,1,0,0,3,2,0,0,2,1,1,0,0,0,1,1,1,6,1,8,4,5,19,0,1,0,0,1,1,0,2,1,4,10,1,1,1,0,0
2022-06-05,20,3,1,0,1,2,2,0,1,2,0,1,0,0,5,2,0,0,2,0,1,0,0,0,1,2,1,4,1,8,3,5,38,0,1,0,0,1,1,0,2,1,4,19,1,1,1,0,0
2022-06-12,26,2,2,0,1,2,2,0,1,1,0,1,0,0,10,3,1,1,2,0,1,0,1,1,1,1,2,8,1,10,4,6,23,0,1,0,0,1,1,0,2,2,5,33,1,2,1,0,0
2022-06-19,17,2,2,0,1,2,2,0,1,1,0,1,0,0,3,6,1,0,2,0,1,0,0,0,1,1,2,11,1,10,3,4,22,0,1,0,1,0,1,0,3,3,5,14,1,2,1,0,0
2022-06-26,16,2,1,0,2,1,2,0,1,1,0,2,0,0,6,9,1,0,5,0,1,0,0,0,1,1,2,34,1,8,2,3,19,0,2,0,0,0,1,0,3,3,4,7,1,1,0,0,0
2022-07-03,15,2,1,0,3,2,2,0,1,2,0,1,0,0,3,6,0,1,4,0,1,0,0,0,1,1,2,27,1,8,2,3,20,0,2,0,0,0,1,0,3,4,4,8,1,1,1,0,0
2022-07-10,15,3,1,0,2,2,2,0,1,1,0,1,0,0,2,4,0,0,2,0,1,0,0,0,1,1,1,14,1,7,3,3,20,0,1,0,0,0,1,0,2,2,4,6,1,1,1,0,0
2022-07-17,16,2,1,0,2,3,2,0,1,1,0,1,0,0,1,3,0,0,3,0,1,0,0,0,1,1,1,9,1,8,2,3,18,0,1,0,0,0,1,0,4,2,4,6,1,1,1,0,0
2022-07-24,15,2,1,0,2,2,2,0,1,1,0,1,0,0,1,3,0,0,2,0,1,0,0,0,1,1,1,11,1,7,2,3,18,0,0,0,0,1,1,0,2,2,3,4,1,1,0,0,0
2022-07-31,16,2,78,0,1,2,2,0,1,1,0,1,0,0,1,2,1,0,2,0,1,0,0,0,2,1,1,8,1,8,4,3,18,0,1,0,1,0,1,0,3,1,3,4,0,1,0,0,0
2022-08-07,14,2,6,0,1,1,2,0,1,1,0,1,0,0,1,4,0,0,2,0,1,0,0,0,1,1,1,12,1,20,3,3,18,0,0,0,0,0,1,0,2,1,3,4,1,1,0,0,0
2022-08-14,18,2,2,0,1,1,1,0,1,1,0,1,0,0,1,3,0,0,2,0,1,0,0,0,1,1,1,9,1,24,3,3,17,0,1,0,0,0,1,0,2,1,3,4,1,1,0,0,0
2022-08-21,13,2,1,0,1,1,1,0,1,1,0,2,0,0,1,3,0,0,3,0,1,0,0,0,1,1,1,9,0,41,2,3,17,0,1,0,0,0,1,0,3,1,5,4,1,1,0,0,0
2022-08-28,13,2,1,0,2,1,2,0,1,2,0,1,0,0,1,3,0,0,2,0,0,0,0,0,1,1,1,4,1,11,2,2,16,0,1,0,0,0,1,0,2,1,3,4,1,1,0,0,0
2022-09-04,12,1,1,0,2,1,1,0,1,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,4,0,9,2,2,17,0,1,0,0,0,0,0,2,2,3,3,0,1,0,0,0
2022-09-11,12,1,1,0,1,1,1,0,1,1,0,1,0,0,0,5,0,0,1,0,1,0,0,0,0,1,1,4,0,8,2,2,16,0,1,0,0,0,0,0,2,1,3,4,0,1,0,0,0
2022-09-18,14,1,1,0,1,1,1,0,0,1,0,2,0,0,1,3,0,0,2,0,1,0,0,0,0,1,1,3,0,8,2,2,16,0,0,0,0,0,1,0,2,1,4,4,0,0,0,0,0
2022-09-25,12,1,1,0,1,1,2,0,1,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,4,0,7,2,2,14,0,0,0,0,0,1,0,2,1,3,5,1,1,0,0,0
2022-10-02,12,1,1,0,2,1,2,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,3,0,8,2,2,14,0,0,0,0,0,1,0,2,1,3,4,1,1,0,0,0
2022-10-09,15,1,1,0,3,1,2,0,1,1,0,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,2,3,0,12,2,2,15,0,1,0,0,0,1,0,3,1,4,4,1,1,0,0,0
2022-10-16,19,1,3,0,3,2,2,0,1,0,0,1,0,0,1,3,0,0,6,0,0,0,0,0,1,0,5,4,0,9,2,2,17,0,1,0,0,1,1,0,6,1,4,7,1,1,0,0,0
2022-10-23,20,1,1,0,3,1,3,0,1,0,0,1,0,0,1,5,0,0,4,1,1,0,0,0,1,1,4,6,0,9,2,3,17,0,2,0,0,0,1,0,7,1,5,8,1,1,0,0,0
2022-10-30,19,1,1,0,2,2,2,0,1,0,0,4,0,0,1,6,0,0,4,0,0,0,0,0,1,1,3,7,1,8,2,3,17,0,1,0,0,0,1,0,6,1,4,7,12,0,0,0,0
2022-11-06,21,1,1,0,2,1,2,0,1,0,0,2,0,0,1,5,0,1,2,0,0,0,0,0,0,0,4,6,0,8,2,2,19,0,1,0,0,0,0,0,5,1,3,7,1,0,0,0,0
2022-11-13,16,1,1,0,2,1,2,0,1,1,0,1,0,0,1,5,0,0,2,0,0,0,0,0,0,1,3,6,0,7,2,2,21,0,1,0,0,0,0,0,3,2,3,10,1,0,0,0,0
2022-11-20,16,1,1,0,1,1,2,0,1,0,0,1,0,0,1,5,0,0,2,0,0,0,0,0,0,0,3,4,0,7,2,2,20,0,1,0,0,0,0,0,3,1,3,7,1,0,0,0,0
2022-11-27,21,1,1,0,1,1,18,0,2,0,0,1,0,0,1,5,0,0,2,0,1,0,0,0,0,0,2,5,0,7,2,2,20,0,1,0,0,0,0,0,5,1,3,6,0,0,0,0,0
