Player,Philanthropic_Footprint,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10
LeBron James,10,"The special was broadcast from the Boys & Girls Club of Greenwich, Connecticut and raised $2.5 million for the organization.","An additional $3.5 million was raised from advertising revenue, and was donated to other charities.","All jerseys worn in the 2020 NBA All-Star Game were auctioned by the NBA and NBPA to raise funds for charity; James' jersey sold for $630,000, setting a record for a modern-day sports jersey.","During the same year, the LeBron James Family Foundation partnered with Crypto to educate underserved Akron communities about blockchains and Web3 tools.","James has maintained close ties to his hometown of Akron, Ohio, which is also where his charity foundation, the LeBron James Family Foundation (LJFF), is based.","Since 2005, the foundation has held an annual bike-a-thon to raise money for various causes.","In 2015, James announced a partnership with the University of Akron to provide scholarships for up to 2,300 children beginning in 2021.","In 2017, he received the J. Walter Kennedy Citizenship Award from the NBA for his ""outstanding service and dedication to the community.""","Other initiatives undertaken by James in Akron include the I Promise Institute at the University of Akron, the I Promise Village housing complex, the House Three-Thirty community center and retail plaza, and the I Promise Health Quarters medical center.","In 2016, he donated $2.5 million to the Smithsonian National Museum of African American History and Culture to support an exhibit on Muhammad Ali."
Michael Jordan,9,"Over the next few years, Jordan played golf in celebrity charity tournaments and spent time with his family in Chicago.","In 2006, Jordan and his wife Juanita pledged $5 million to Chicago's Hales Franciscan High School.",The Make-A-Wish Foundation named Jordan its Chief Wish Ambassador in 2008.,"As of 2019, Jordan has raised more than $5 million for the Make-A-Wish Foundation.","In 2023, he donated $10 million to the organization for his 60th birthday.","In 2017, Jordan gave $7 million to fund two Novant Health Michael Jordan Family Clinics in Charlotte, North Carolina, his biggest donation to that point.","The following year, after Hurricane Florence damaged parts of North Carolina, Jordan donated $2 million to relief efforts.","In 2016, amidst the public uproar about the police shootings of two African-American men, Alton Sterling and Philando Castile, and two deadly attacks against police officers in Dallas and Baton Rouge, Jordan made $1 million donations to the NAACP Legal Defense Fund and the Institute for Community-Police Relations.","In February 2021, Jordan funded two Novant Health Michael Jordan Family Clinics in New Hanover County, North Carolina, by giving $10 million.",
Stephen Curry,8,"Since 2018, Curry has served as the chief executive officer of Thirty Ink, a San Francisco-based company that works to provide equitable opportunities to people through brand, media, experiences, and philanthropy, as the four major verticals.","In 2012, Curry started donating three insecticide-treated mosquito nets for every three-pointer he made to the United Nations Foundation's Nothing But Nets campaign to combat malaria.","Following his MVP award win and historic 2015–16 season, Curry donated his prize vehicle—a 2016 Kia Sorento—to the East Oakland Youth Development Center, a local non-profit organization located in the backyard of Oracle Arena.","The shoes sold for $58,100 after 113 bids, with the money being donated for STEM education initiatives.","Foundation in Oakland, California.","By 2023, the Foundation had provided 25 million meals, renovated 12 play areas and invested $6 million in literacy programs.","Since its inception, the foundation has raised and invested over $75 million to narrow the literacy gap in the city's underserved communities, provide access to nutritious meals, and remodel physical education spaces to improve children's well-being.","In May 2025, Curry and his wife were named in Time's inaugural list of the most influential people in philanthropy.",,
Steve Nash,6,"In 2001, Nash founded the Steve Nash Foundation.","Through grants to public service and nonprofit entities, the foundation aims to foster health in kids by funding projects that provide services to children affected by poverty, illness, abuse, or neglect, and create opportunities for education, play, and empowerment.",The foundation was awarded the Steve Patterson Award for Excellence in Sports Philanthropy in 2008.,"The charity event reportedly raised 2.5 million dollars, earmarked for Chinese children in need.","On 18 September 2009, he was awarded an honorary Doctor of Laws degree from the University of Victoria for his athletic achievements and philanthropic work on the behalf of young people through the Steve Nash Foundation.","Nash also co-hosted Showdown in Chinatown in 2008, an 8-on-8 charity soccer game held at Sara D. Roosevelt Park.",,,,
Gary Payton,6,"He set up The Gary Payton Foundation in 1996 to provide safe places for recreational activity, and to help underprivileged youth in his hometown of Oakland stay in school.",He hosts an annual charity basketball game as part of his foundation.,"In 2001, Payton donated $100,000 to renovate EOYDC's gym – his first big grant in his hometown of Oakland.","Payton and his wife, Monique, have been active in fundraising endeavors for HIV awareness, and Payton has lent many hours and provided tremendous financial support to the Boys & Girls Club of America and the Make-a-Wish Foundation.",Payton has also donated Miami Heat tickets to underprivileged children.,He did it for charity during the NBA lockout.,,,,
Carmelo Anthony,5,"(Holding Our Own Destiny) Movement 3 on 3 Challenge"" and is helping fund the revitalization of a local community center for local youth.","He contributed $1.5 million to the Living Classrooms Foundation, a non-profit organization that ""provides innovative hands-on-education, job-training, and community service programs for over 35,000 children, youth and young adults in the east Baltimore community.""","After the tsunami caused by the 2004 Indian Ocean earthquake, Anthony donated $35,000 to relief efforts.","He donated $1,000 per point scored against San Antonio and Houston on January 8 and 9, 2005, respectively.","Anthony also committed $3 million toward the construction of a newly planned basketball practice facility at his alma mater, Syracuse University.",,,,,
Dwyane Wade,5,"In 2003, Wade founded The Wade's World Foundation, which provides support to community-based organizations that promote education, health, and social skills for children in at-risk situations.",He hosts a variety of community outreach programs in Chicago and South Florida.,"In 2008, Wade announced his partnership with former teammate Alonzo Mourning's charitable foundation and co-hosted ZO's Summer Groove, an annual summer event.","Wade also donated furnishings, clothing, and gifts to the family.","In September 2009, Wade donated money from his foundation to keep the Robbins, Illinois public library from having to shut down.",,,,,
David Robinson,4,"In 2001, Robinson founded and funded the $9 million Carver Academy in San Antonio, a non-profit private school named for George Washington Carver to provide more opportunities for inner-city children.","To date, the Robinsons have donated more than $11 million to the school.","In March 2003, in recognition of his outstanding contributions to charity, the NBA renamed its award for outstanding charitable efforts in honor of Robinson.","In 2018, Robinson became a member of the V Foundation for Cancer Research's board of directors.",,,,,,
Isiah Thomas,4,"Thomas founded Mary's Court, a foundation that supports economically disadvantaged parents and children on the West Side of Chicago.",The charity is named for Thomas's mother.,"Mary's Court has teamed up with another Chicago-based charity, Kids off the Block, to serve meals to Chicago children and families during Thanksgiving.","While Thomas was at FIU, Thomas and Mary's Court donated $50,000 to FIU's First Generation Scholarship and organized a sell-out charity game during the NBA lockout featuring NBA stars LeBron James and Dwyane Wade.",,,,,,
Kobe Bryant,4,The proceeds for downloads of both the single and ringtones were donated to impoverished schools for basketball facilities and equipment.,"Bryant also started the Kobe Bryant China Fund which partnered with the Soong Ching Ling Foundation, a charity backed by the Chinese government.",Bryant and his wife founded the Kobe and Vanessa Bryant Family Foundation (KVBFF).,"During his lifetime, Bryant granted over 200 requests for the Make-A-Wish Foundation.",,,,,,
Tim Duncan,4,"In 2001, Duncan established the Tim Duncan Foundation to fund programs involving health awareness and research, education, and youth sports and recreation in San Antonio, Winston-Salem, and the United States Virgin Islands.",The foundation's major events have included the Tim Duncan Bowling for Dollar$ Charity Bowl-A-Thon and the Slam Duncan Charity Golf Classic.,"Between 2001 and 2002, the foundation raised more than $350,000 for breast and prostate cancer research.","In August 2017, BlackJack Speed Shop, in partnership with The Tim Duncan Foundation, organized urgently needed supplies for victims of Hurricane Harvey.",,,,,,
Magic Johnson,3,"In 1985, Johnson created ""A Midsummer Night's Magic"", a yearly charity event which included a celebrity basketball game and a black tie dinner.","""A Midsummer Night's Magic"" eventually came under the umbrella of the Magic Johnson Foundation, which he founded in 1991.","After announcing his infection in November 1991, Johnson created the Magic Johnson Foundation to help combat HIV, although he later diversified the foundation to include other charitable goals.",,,,,,,
Kevin Durant,3,He has developed a reputation for philanthropy and has regularly led the league in All-Star votes and jersey sales.,"In 2013, he pledged $1 million to the American Red Cross for the victims of the 2013 Moore tornado.","Durant's hometown Seat Pleasant in Prince George's County, Maryland announced Kevin Durant Day as August 17, 2017 in honor of his contributions to the community, as well as for his back-to-back NBA Championship wins and NBA Finals MVP awards.",,,,,,,
Chris Paul,2,"You can build a new arena, you can be at games, you can cheer on the team, you're gonna have all this high energy but at the end of the day an organization is built on a foundation of respect and it's built on how you treat people and I don't think that in this situation Chris was treated right.","He has hosted and participated in numerous celebrity and youth bowling events as the head of the CP3 Foundation, which benefits programs in Louisiana affected by Hurricane Katrina, as well as charities in Winston-Salem.",,,,,,,,
Charles Barkley,2,The winner was to choose a charity to which the money would be donated.,His wife is an honorary member of the Phoenix-based Fresh Start Women's Foundation organization.,,,,,,,,
Julius Erving,2,She raised money from private foundation to bring her old friend and mentor Kent Twitchell to Philadelphia.,"There was a ripple effect—foundation and grants started to emerge.""",,,,,,,,
John Havlicek,2,"Havlicek was a member of the board of the Genesis Foundation, which assists children with disabilities and genetic disorders.","He and his wife Beth held the John Havlicek Celebrity Fishing Tournament for more than three decades, with proceeds going to the foundation.",,,,,,,,
Karl Malone,2,"By the 1987–88 season, Malone was the foundation of the offense and John Stockton was the floor general.","On May 31, 2007, Malone became director of basketball promotion and assistant strength and conditioning coach at his alma mater Louisiana Tech University and donated $350,000 to the university athletic department.",,,,,,,,
Shaquille O'Neal,1,"On March 2, 2005, O'Neal was given an honorary U.S. Deputy Marshal title and named the spokesman for the Safe Surfin' Foundation; he served an honorary role on the task force of the same name, which tracks down sexual predators who target children on the Internet.",,,,,,,,,
Patrick Ewing,1,"In 2014, Ewing and sports agent David Falk announced a $3.3 million donation to the John R. Thompson, Jr. Intercollegiate Athletics Center under construction at Georgetown University.",,,,,,,,,
Paul Pierce,1,"In 2003, two and a half years after the attack, Pierce pledged $2.5 million to help expand the high-tech surgical center at Tufts-New England Medical Center that helped make his recovery possible.",,,,,,,,,
Ray Allen,1,"He also started the ""Ray of Hope"" Foundation to assist charities in several communities.",,,,,,,,,
Oscar Robertson,1,He has been an honorary spokesman for the National Kidney Foundation ever since.,,,,,,,,,
Moses Malone,1,He had been scheduled to play in a charity golf tournament that day and was found unresponsive in his room when he did not appear for breakfast or answer his phone.,,,,,,,,,
Kawhi Leonard,1,"The album aimed to benefit Mamba & Mambacita, a charity created in memory of Kobe and Gianna Bryant.",,,,,,,,,
Giannis Antetokounmpo,1,"Antetokounmpo and his family also donated 20,000 masks to people in Athens and Zografou in Greece in 2020.",,,,,,,,,
Dirk Nowitzki,1,"He founded the Dirk Nowitzki Foundation, a charity which aims at fighting poverty in Africa.",,,,,,,,,
Bill Russell,1,"The Bill Russell Legacy Foundation, established by the Boston Celtics Shamrock Foundation, funded the project.",,,,,,,,,
Allen Iverson,1,"In this role, he is involved in player recruitment, community initiatives, and athlete activations, working alongside Shaquille O’Neal, who serves as Reebok's president of basketball.",,,,,,,,,
Kareem Abdul-Jabbar,1,"Abdul-Jabbar purchased and donated 7700 16th Street NW, a house in Washington, D.C., for Khaalis to use as the Hanafi Madh-Hab Center; a few years later, the location would become the place of the 1973 Hanafi Muslim massacre.",,,,,,,,,
Russell Westbrook,1,"Foundation, which promotes community-based education and family service programs while pushing the younger generation to be self-confident.",,,,,,,,,
Clyde Drexler,0,,,,,,,,,,
Dominique Wilkins,0,,,,,,,,,,
Bob Pettit,0,,,,,,,,,,
James Harden,0,,,,,,,,,,
Hakeem Olajuwon,0,,,,,,,,,,
Elgin Baylor,0,,,,,,,,,,
Elvin Hayes,0,,,,,,,,,,
John Stockton,0,,,,,,,,,,
Larry Bird,0,,,,,,,,,,
Jason Kidd,0,,,,,,,,,,
Jerry West,0,,,,,,,,,,
Kevin Garnett,0,,,,,,,,,,
Scottie Pippen,0,,,,,,,,,,
Nikola Jokic,0,,,,,,,,,,
Rick Barry,0,,,,,,,,,,
Tracy McGrady,0,,,,,,,,,,
Walt Frazier,0,,,,,,,,,,
Willis Reed,0,,,,,,,,,,
Wilt Chamberlain,0,,,,,,,,,,
